"game_type","week","away_team","home_team","away_wins","home_wins","ties","result","games_played","away_percentage","home_percentage"
"REG",1,"ARI","WAS",44694,55306,0,1.74101,100000,0.44694,0.55306
"REG",1,"BUF","NYJ",78388,21612,0,-10.51845,100000,0.78388,0.21612
"REG",1,"CAR","ATL",50998,49002,0,-0.36626,100000,0.50998,0.49002
"REG",1,"CIN","CLE",51502,48498,0,-0.46741,100000,0.51502,0.48498
"REG",1,"DAL","NYG",58323,41677,0,-2.87986,100000,0.58323,0.41677
"REG",1,"DET","KC",23156,76844,0,9.72478,100000,0.23156,0.76844
"REG",1,"GB","CHI",61798,38202,0,-4.0145,100000,0.61798,0.38202
"REG",1,"HOU","BAL",26165,73835,0,8.56916,100000,0.26165,0.73835
"REG",1,"JAX","IND",29506,70494,0,7.21474,100000,0.29506,0.70494
"REG",1,"LA","SEA",60805,39195,0,-3.67716,100000,0.60805,0.39195
"REG",1,"LV","DEN",44754,55246,0,1.80516,100000,0.44754,0.55246
"REG",1,"MIA","LAC",45695,54305,0,1.46956,100000,0.45695,0.54305
"REG",1,"PHI","NE",54251,45749,0,-1.38414,100000,0.54251,0.45749
"REG",1,"SF","PIT",52805,47195,0,-0.91169,100000,0.52805,0.47195
"REG",1,"TB","MIN",55892,44108,0,-1.93175,100000,0.55892,0.44108
"REG",1,"TEN","NO",47056,52944,0,0.99063,100000,0.47056,0.52944
"REG",2,"BAL","CIN",52016,47984,0,-0.65727,100000,0.52016,0.47984
"REG",2,"CHI","TB",26937,73063,0,8.25348,100000,0.26937,0.73063
"REG",2,"CLE","PIT",48616,51384,0,0.46299,100000,0.48616,0.51384
"REG",2,"GB","ATL",69472,30528,0,-6.81229,100000,0.69472,0.30528
"REG",2,"IND","HOU",66800,33200,0,-5.82715,100000,0.668,0.332
"REG",2,"KC","JAX",74894,25106,0,-9.04575,100000,0.74894,0.25106
"REG",2,"LAC","TEN",52362,47638,0,-0.77339,100000,0.52362,0.47638
"REG",2,"LV","BUF",29828,70172,0,7.12703,100000,0.29828,0.70172
"REG",2,"MIA","NE",53673,46327,0,-1.21137,100000,0.53673,0.46327
"REG",2,"MIN","PHI",49452,50548,0,0.18033,100000,0.49452,0.50548
"REG",2,"NO","CAR",61625,38375,0,-3.96159,100000,0.61625,0.38375
"REG",2,"NYG","ARI",43337,56663,0,2.25569,100000,0.43337,0.56663
"REG",2,"NYJ","DAL",29281,70719,0,7.32274,100000,0.29281,0.70719
"REG",2,"SEA","DET",51197,48803,0,-0.35622,100000,0.51197,0.48803
"REG",2,"SF","LA",45461,54539,0,1.4843,100000,0.45461,0.54539
"REG",2,"WAS","DEN",45265,54735,0,1.62113,100000,0.45265,0.54735
"REG",3,"ATL","DET",44124,55876,0,1.98182,100000,0.44124,0.55876
"REG",3,"BUF","WAS",65852,34148,0,-5.42718,100000,0.65852,0.34148
"REG",3,"CAR","SEA",42807,57193,0,2.47132,100000,0.42807,0.57193
"REG",3,"CHI","KC",27834,72166,0,7.90826,100000,0.27834,0.72166
"REG",3,"DAL","ARI",54336,45664,0,-1.45006,100000,0.54336,0.45664
"REG",3,"DEN","MIA",44096,55904,0,2.02458,100000,0.44096,0.55904
"REG",3,"HOU","JAX",46387,53613,0,1.23997,100000,0.46387,0.53613
"REG",3,"IND","BAL",44366,55634,0,1.93058,100000,0.44366,0.55634
"REG",3,"LA","CIN",49849,50151,0,0.0327,100000,0.49849,0.50151
"REG",3,"LAC","MIN",46152,53848,0,1.33526,100000,0.46152,0.53848
"REG",3,"NE","NYJ",62021,37979,0,-4.11669,100000,0.62021,0.37979
"REG",3,"NO","GB",42356,57644,0,2.60261,100000,0.42356,0.57644
"REG",3,"NYG","SF",36236,63764,0,4.76563,100000,0.36236,0.63764
"REG",3,"PHI","TB",39020,60980,0,3.74445,100000,0.3902,0.6098
